ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage_kms,Engine_cc,Power_bhp,Seats,New_Price_Lakh,Price,Price_Difference_Lakh
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,1,0,First,19.67,1582.0,126.2,5.0,20.48,12.5,7.98
2,Honda Jazz V,Chennai,2011,46000,0,0,First,13.0,1199.0,88.7,5.0,8.61,4.5,4.109999999999999
3,Maruti Ertiga VDI,Chennai,2012,87000,1,0,First,20.77,1248.0,88.76,7.0,20.48,6.0,14.48
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,1,1,Second,15.2,1968.0,140.8,5.0,20.48,17.74,2.740000000000002
6,Nissan Micra Diesel XV,Jaipur,2013,86999,1,0,First,23.08,1461.0,63.1,5.0,20.48,3.5,16.98
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,1,1,First,11.36,2755.0,171.5,8.0,21.0,17.5,3.5
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,1,0,First,20.54,1598.0,103.6,5.0,20.48,5.2,15.280000000000001
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,1,0,Second,22.3,1248.0,74.0,5.0,20.48,1.95,18.53
10,Maruti Ciaz Zeta,Kochi,2018,25692,0,0,First,21.56,1462.0,103.25,5.0,10.65,9.95,0.7000000000000011
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,0,1,First,16.8,1497.0,116.3,5.0,20.48,4.49,15.99
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,1,0,First,25.2,1248.0,74.0,5.0,20.48,5.6,14.88
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,1,1,First,12.7,2179.0,187.7,5.0,20.48,27.0,-6.52
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,1,1,Second,0.0,2179.0,115.0,5.0,20.48,17.5,2.9800000000000004
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,1,0,First,13.5,2477.0,175.56,7.0,32.01,15.0,17.009999999999998
16,Honda Amaze S i-Dtech,Kochi,2016,58950,1,0,First,25.8,1498.0,98.6,5.0,20.48,5.4,15.08
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,1,0,First,28.4,1248.0,74.0,5.0,20.48,5.99,14.49
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,1,0,First,20.45,1461.0,83.8,5.0,20.48,6.34,14.14
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,1,1,First,14.84,2143.0,167.62,5.0,20.48,28.0,-7.52
20,BMW 3 Series 320d,Kochi,2014,32982,1,1,First,22.69,1995.0,190.0,5.0,47.87,18.55,29.319999999999997
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,1,0,Second,23.65,1248.0,88.5,5.0,20.48,8.25,12.23
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,0,1,First,13.53,1984.0,177.01,5.0,20.48,23.5,-3.0199999999999996
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,0,0,First,18.5,1197.0,80.0,5.0,20.48,1.87,18.61
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,0,1,First,14.4,1598.0,103.6,5.0,20.48,2.85,17.63
25,Honda City Corporate Edition,Mumbai,2012,51920,0,0,First,16.8,1497.0,116.3,5.0,20.48,4.25,16.23
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,1,0,First,16.48,1461.0,63.1,5.0,20.48,4.25,16.23
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,0,0,Second,20.92,998.0,67.1,5.0,20.48,2.75,17.73
28,Honda WRV i-VTEC VX,Kochi,2018,37430,0,0,First,17.5,1199.0,88.7,5.0,10.57,9.9,0.6699999999999999
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,1,0,Fourth & Above,12.8,2494.0,102.0,7.0,20.48,4.0,16.48
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,1,0,First,19.01,1461.0,108.45,5.0,20.48,7.75,12.73
31,Toyota Corolla Altis G,Delhi,2012,87615,0,0,First,14.53,1798.0,138.1,5.0,20.48,6.75,13.73
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,1,1,Second,11.18,2696.0,184.0,7.0,20.48,12.5,7.98
33,Audi A6 2.7 TDI,Kolkata,2010,35000,1,1,First,12.4,2698.0,179.5,5.0,20.48,11.5,8.98
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,0,0,Second,16.09,1598.0,103.5,5.0,12.33,6.98,5.35
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,0,0,Second,14.0,1061.0,64.0,5.0,20.48,1.85,18.63
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,1,0,First,24.3,1248.0,88.5,5.0,11.12,8.63,2.4899999999999984
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,0,0,First,18.15,1198.0,82.0,5.0,20.48,4.85,15.63
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,1,1,First,11.74,2987.0,254.8,5.0,20.48,28.0,-7.52
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,1,0,First,22.07,1199.0,73.9,5.0,20.48,5.0,15.48
40,Maruti Alto LXi,Delhi,2008,90000,0,0,Second,19.7,796.0,46.3,5.0,20.48,1.25,19.23
41,Tata Nano LX SE,Kochi,2014,19698,0,0,First,25.4,624.0,37.5,4.0,20.48,1.53,18.95
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,1,0,First,25.32,1198.0,77.0,6.0,20.48,5.58,14.9
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,0,0,First,18.5,1197.0,82.9,5.0,20.48,4.74,15.74
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,0,1,First,14.62,1999.0,149.92,5.0,23.64,8.85,14.790000000000001
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,0,1,First,14.28,1798.0,138.03,5.0,20.48,10.11,10.370000000000001
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,1,0,Second,14.9,1991.0,112.2,5.0,20.48,4.25,16.23
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,0,0,First,11.25,2694.0,163.7,7.0,18.64,10.95,7.690000000000001
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,1,0,First,24.4,1120.0,71.0,5.0,20.48,3.85,16.63
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,1,0,Second,16.55,2498.0,105.0,6.0,20.48,5.5,14.98
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,1,1,First,17.11,1968.0,174.33,5.0,20.48,21.43,-0.9499999999999993
51,Maruti Swift LDI,Delhi,2014,52000,1,0,First,22.9,1248.0,74.0,5.0,20.48,4.25,16.23
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,1,0,First,17.8,1248.0,75.0,5.0,20.48,3.3,17.18
53,Maruti Swift VDI,Delhi,2013,65650,1,0,First,28.4,1248.0,74.0,5.0,20.48,3.85,16.63
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,0,0,Third,18.9,1197.0,82.0,5.0,20.48,3.6,16.88
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,0,0,First,15.04,1598.0,103.2,5.0,20.48,3.99,16.490000000000002
56,Renault KWID RXT,Kochi,2017,16542,0,0,First,25.17,799.0,53.3,5.0,20.48,3.3,17.18
57,Hyundai i10 Asta,Kolkata,2010,32000,0,0,First,20.36,1197.0,78.9,5.0,20.48,2.07,18.41
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,1,1,First,9.49,1995.0,147.6,5.0,20.48,7.75,12.73
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,0,0,First,18.2,998.0,67.1,5.0,20.48,2.25,18.23
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,1,0,First,13.68,2393.0,147.8,8.0,19.34,16.5,2.84
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,1,0,First,20.0,1399.0,68.0,5.0,20.48,2.75,17.73
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,0,1,First,11.74,1796.0,186.0,5.0,20.48,26.7,-6.219999999999999
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,1,0,Second,15.8,2148.0,170.0,5.0,20.48,10.0,10.48
64,Tata Indica V2 eLS,Chennai,2016,178000,1,0,First,25.0,1396.0,69.0,5.0,20.48,2.5,17.98
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,1,1,First,16.55,1968.0,140.0,5.0,20.48,13.5,6.98
66,Honda City ZX CVT,Mumbai,2007,63000,0,1,Second,16.4,1497.0,78.0,5.0,20.48,1.85,18.63
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,1,1,First,0.0,1950.0,194.0,5.0,49.14,35.67,13.469999999999999
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,1,0,First,24.52,1248.0,88.5,7.0,20.48,8.15,12.33
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,1,0,First,22.1,1396.0,88.7,5.0,11.81,10.5,1.3100000000000005
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,0,1,First,8.5,4806.0,500.0,5.0,20.48,14.5,5.98
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,1,0,First,15.1,2179.0,140.0,7.0,20.48,9.65,10.83
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,0,1,First,16.95,1197.0,78.9,5.0,20.48,3.48,17.0
73,Nissan Terrano XV D Pre,Kochi,2015,56066,1,0,First,19.64,1461.0,108.5,5.0,16.65,6.92,9.729999999999999
74,Honda Brio VX AT,Coimbatore,2016,37300,0,1,Second,16.5,1198.0,86.8,5.0,20.48,6.46,14.02
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,1,1,Second,18.53,1968.0,187.74,5.0,20.48,29.5,-9.02
